Model,Accuracy,Precision,Recall,F1 Score,Training Time (s)
XGBoost (GPU),0.9948770491803278,0.9948826713313098,0.9948770491803278,0.994877676466996,4.287559986114502
LightGBM (GPU),0.9940232240437158,0.9940275374001912,0.9940232240437158,0.9940235385929318,43.30950045585632
Random Forest (CPU fast),0.9863387978142076,0.9864505527594584,0.9863387978142076,0.9863508864261011,5.758033275604248
Logistic Regression,0.9769467213114754,0.9772933687511887,0.9769467213114754,0.9770297425357901,0.47437572479248047
